Pattern_ID,Technique,Discovered_Pattern,Behavior_Type,Layer_Start,Layer_End,Layer_Count,Layer_Region,Mean_Restructuring_Signal,Peak_Restructuring_Signal,Min_Restructuring_Signal,Std_Restructuring_Signal,Pattern_Pearson_Alignment,Pattern_Spearman_Alignment,Pattern_Pairwise_Discrimination,Pattern_Layer_Stability,Pattern_Variance_Consistency,Pattern_Pearson_Alignment_Norm,Pattern_Spearman_Alignment_Norm,Pattern_Pairwise_Discrimination_Norm,Pattern_Layer_Stability_Norm,Pattern_Variance_Consistency_Norm,Pattern_Combined_Alignment,Pattern_Alignment_Rank
PAT-001,Attention Entropy Analysis,early-layer layers 1--2 high-magnitude attention redistribution behavior,high_signal,1,2,2,early-layer,0.0084048748016357,0.0096619415283203,0.0071478080749511,0.0012570667266845,0.2474649845856777,0.3175511520156239,0.676923076923077,0.9999778577273448,0.09651182295652684,0.9791767936876165,1.0,0.9514563106796118,0.9999779717834456,0.41546156435329634,0.869214528100794,1
PAT-002,Attention Entropy Analysis,early-layer layers 4--5 high-magnitude attention redistribution behavior,high_signal,4,5,2,early-layer,0.0072087097167968,0.007594985961914,0.0068224334716796,0.0003862762451171,0.2231314488519743,0.2900722445538736,0.6292307692307693,0.9999998859413867,0.09772728804816994,0.8668420301470717,0.8983665132821469,0.6504854368932039,1.0,0.42102423709006376,0.7673436434824972,2
PAT-003,Attention Entropy Analysis,deep-layer layers 23--24 high-magnitude attention redistribution behavior,high_signal,23,24,2,deep-layer,0.0116155624389648,0.0138059902191162,0.0094251346588134,0.0021904277801513,0.25197562954474934,0.3034599326350618,0.6846153846153846,0.0,0.08243136015430465,1.0,0.9478822162145203,1.0,0.0,0.3510212056054305,0.6597806843639902,3
PAT-009,Subspace-oriented Representational Analysis,early-layer layers 1--2 high-magnitude latent subspace relocation behavior,high_signal,1,2,2,early-layer,0.9149648251384496,0.9372121031070128,0.8927175471698865,0.0222472779685631,0.14160549827965793,0.12511934153975515,0.5938461538461539,0.9998678615677167,0.2242356882409538,0.490480843668337,0.2882717087164031,0.42718446601941773,0.9998679756112715,1.0,0.6411609988030859,4
PAT-007,Layer-wise Activation Distance,deep-layer layers 18--24 high-magnitude activation redistribution magnitude,high_signal,18,24,7,deep-layer,118.41958624703544,331.8602969360352,59.02950653076172,88.94405699572442,0.14768332597443745,0.11212094088237827,0.5753846153846154,0.9998192829794524,0.10295552032437118,0.5185388844070522,0.240195824243786,0.31067961165048524,0.9998193970174665,0.44495165824289745,0.5028370751123374,5
PAT-005,CKA Similarity,deep-layer layers 22--24 localized spike in relational preservation or reorganization behavior,signal_spike,22,24,3,deep-layer,0.8015784262776527,0.9406442415983084,0.6079186040546508,0.1412137072240709,0.15663205874339933,0.12779001304297655,0.5707692307692307,0.9999958158311544,0.01294472868256769,0.5598503399468454,0.2981494542973809,0.28155339805825175,0.9999959298893035,0.03301010589123694,0.4345118456166038,6
PAT-004,CKA Similarity,deep-layer layers 19--24 high-magnitude relational preservation or reorganization behavior,high_signal,19,24,6,deep-layer,0.5133201517361304,0.9406442415983084,0.1428456354002931,0.3099746336329508,0.15507386908537707,0.11825758964287883,0.5733333333333334,0.999898462920796,0.011783465990871746,0.5526570216925313,0.2628928332555386,0.29773462783171517,0.9998985769678411,0.027695494752064096,0.4281757108999381,7
PAT-006,Cosine Similarity,deep-layer layers 18--24 high-magnitude directional representational shift,high_signal,18,24,7,deep-layer,0.5674290716222355,0.7818685832619667,0.4670134237408638,0.0957394456726375,0.14923114124370596,0.11387757180086569,0.5753846153846154,0.9998404508366019,0.005731895341313662,0.5256843097238053,0.24669289933204308,0.31067961165048524,0.9998405648770303,0.0,0.41657947711667276,8
PAT-008,Subspace-oriented Representational Analysis,mid-layer layers 0--24 stable restructuring band of latent subspace relocation behavior,stable_band,0,24,25,mid-layer,0.8829465909688734,0.9372121031070128,0.7878729739040137,0.0247069378253777,0.035359374996612576,0.0643583245001786,0.5261538461538462,0.9988097370734349,0.2208080142027486,0.0,0.0635410120229146,0.0,0.9988098509963015,0.9843129769386678,0.40933276799157675,9
PAT-010,Subspace-oriented Representational Analysis,deep-layer layers 21--24 high-magnitude latent subspace relocation behavior,high_signal,21,24,4,deep-layer,0.8989670202985871,0.9080401859944688,0.8949120080471039,0.0052774083480697,0.060145182908836005,0.04717857749168674,0.5492307692307692,0.9998954598817599,0.05704967891626602,0.11442265938872788,0.0,0.14563106796116457,0.9998955739284625,0.2348599211663244,0.29896184448893587,10
