Pattern_ID,Technique,Discovered_Pattern,Behavior_Type,Layer_Start,Layer_End,Layer_Count,Layer_Region,Mean_Restructuring_Signal,Peak_Restructuring_Signal,Min_Restructuring_Signal,Std_Restructuring_Signal
PAT-001,Attention Entropy Analysis,early-layer layers 1--2 high-magnitude attention redistribution behavior,high_signal,1,2,2,early-layer,0.008404874801635744,0.009661941528320313,0.007147808074951172,0.0012570667266845704
PAT-002,Attention Entropy Analysis,early-layer layers 4--5 high-magnitude attention redistribution behavior,high_signal,4,5,2,early-layer,0.007208709716796875,0.007594985961914063,0.006822433471679688,0.00038627624511718747
PAT-003,Attention Entropy Analysis,deep-layer layers 23--24 high-magnitude attention redistribution behavior,high_signal,23,24,2,deep-layer,0.011615562438964843,0.01380599021911621,0.009425134658813476,0.002190427780151367
PAT-004,CKA Similarity,deep-layer layers 19--24 high-magnitude relational preservation or reorganization behavior,high_signal,19,24,6,deep-layer,0.5133201517361304,0.9406442415983084,0.14284563540029316,0.30997463363295086
PAT-005,CKA Similarity,deep-layer layers 22--24 localized spike in relational preservation or reorganization behavior,signal_spike,22,24,3,deep-layer,0.8015784262776527,0.9406442415983084,0.6079186040546508,0.1412137072240709
PAT-006,Cosine Similarity,deep-layer layers 18--24 high-magnitude directional representational shift,high_signal,18,24,7,deep-layer,0.5674290716222355,0.7818685832619667,0.4670134237408638,0.09573944567263759
PAT-007,Layer-wise Activation Distance,deep-layer layers 18--24 high-magnitude activation redistribution magnitude,high_signal,18,24,7,deep-layer,118.41958624703544,331.8602969360352,59.02950653076172,88.94405699572442
PAT-008,Subspace-oriented Representational Analysis,mid-layer layers 0--24 stable restructuring band of latent subspace relocation behavior,stable_band,0,24,25,mid-layer,0.8829465909688734,0.9372121031070129,0.7878729739040137,0.024706937825377757
PAT-009,Subspace-oriented Representational Analysis,early-layer layers 1--2 high-magnitude latent subspace relocation behavior,high_signal,1,2,2,early-layer,0.9149648251384497,0.9372121031070129,0.8927175471698865,0.022247277968563184
PAT-010,Subspace-oriented Representational Analysis,deep-layer layers 21--24 high-magnitude latent subspace relocation behavior,high_signal,21,24,4,deep-layer,0.8989670202985871,0.9080401859944687,0.8949120080471039,0.0052774083480697015
